noun Cingonius voc_sg {{la-decl-2nd|num=sg|Cingōni}}
noun Cipius voc_sg {{la-decl-2nd|num=sg|Cipi}}
noun Cispius voc_sg {{la-decl-2nd|num=sg|Cispi}}
noun Cissii voc_sg {{la-decl-2nd|num=pl|Cissi}}
noun Cissonius voc_sg {{la-decl-2nd|num=sg|Cissōni}}
noun Cius voc_sg {{la-decl-2nd|num=sg|Ci}}
noun Cloelius voc_sg {{la-decl-2nd|num=sg|Cloeli}}
noun Cluentius voc_sg {{la-decl-2nd|num=sg|Cluenti}}
noun Clusius voc_sg {{la-decl-2nd|num=sg|Clūsi}}
noun Clutorius voc_sg {{la-decl-2nd|num=sg|Clutōri}}
noun Cluvius voc_sg {{la-decl-2nd|num=sg|Cluvi}}
noun Cocceius voc_sg {{la-decl-2nd|num=sg|Coccēi}}
noun Cocilius voc_sg {{la-decl-2nd|num=sg|Cocili}}
noun Colycantii voc_sg {{la-decl-2nd|num=pl|Colycanti}}
noun Comatius voc_sg {{la-decl-2nd|num=sg|Comāti}}
noun Comicius voc_sg {{la-decl-2nd|num=sg|Comici}}
noun Cominius voc_sg {{la-decl-2nd|num=sg|Comini}}
noun Confucius voc_sg {{la-decl-2nd|Cōnfuci|num=sg}}
noun Conii voc_sg {{la-decl-2nd|num=pl|Coni}}
noun Connonius voc_sg {{la-decl-2nd|num=sg|Connōni}}
noun Consentius voc_sg {{la-decl-2nd|num=sg|Consenti}}
noun Considius voc_sg {{la-decl-2nd|num=sg|Considi}}
noun Copellius voc_sg {{la-decl-2nd|num=sg|Copelli}}
noun Coponius voc_sg {{la-decl-2nd|num=sg|Cōpōni}}
noun Cordius voc_sg {{la-decl-2nd|num=sg|Cordi}}
noun Corellius voc_sg {{la-decl-2nd|num=sg|Corelli}}
noun Corfidius voc_sg {{la-decl-2nd|num=sg|Corfīdi}}
noun Coricius voc_sg {{la-decl-2nd|num=sg|Corici}}
noun Corius voc_sg {{la-decl-2nd|num=sg|Cori}}
noun Cornificius voc_sg {{la-decl-2nd|num=sg|Cornifici}}
noun Coruncanius voc_sg {{la-decl-2nd|num=sg|Coruncāni}}
noun Cosconius voc_sg {{la-decl-2nd|num=sg|Coscōni}}
noun Cossinius voc_sg {{la-decl-2nd|num=sg|Cossini}}
noun Cossutius voc_sg {{la-decl-2nd|num=sg|Cossuti}}
noun Cottius voc_sg {{la-decl-2nd|Cotti|num=sg}}
noun Cranii voc_sg {{la-decl-2nd|num=pl|Crani}}
noun Crassitius voc_sg {{la-decl-2nd|num=sg|Crassiti}}
noun Cremutius voc_sg {{la-decl-2nd|num=sg|Cremūti}}
noun Crepereius voc_sg {{la-decl-2nd|num=sg|Creperēi}}
noun Critonius voc_sg {{la-decl-2nd|num=sg|Critōni}}
noun Crius voc_sg {{la-decl-2nd|num=sg|Cri}}
noun Crustumius voc_sg {{la-decl-2nd|num=sg|Crustumi}}
noun Cuarius voc_sg {{la-decl-2nd|num=sg|Cuari}}
noun Cupiennius voc_sg {{la-decl-2nd|num=sg|Cupienni}}
noun Curiatius voc_sg {{la-decl-2nd|num=sg|Curiati}}
noun Curidius voc_sg {{la-decl-2nd|num=sg|Curidi}}
noun Curius voc_sg {{la-decl-2nd|num=sg|Curi}}
noun Curtilius voc_sg {{la-decl-2nd|num=sg|Curtili}}
noun Curtius voc_sg {{la-decl-2nd|num=sg|Curti}}
noun Cuspius voc_sg {{la-decl-2nd|num=sg|Cuspi}}
noun Danubius voc_sg {{la-decl-2nd|num=sg|Danubi}}
noun Dassaretii voc_sg {{la-decl-2nd|num=pl|Dassareti}}
noun Dasumius voc_sg {{la-decl-2nd|num=sg|Dasumi}}
noun Daunii voc_sg {{la-decl-2nd|num=pl|Dauni}}
noun Decidius voc_sg {{la-decl-2nd|num=sg|Dēcidi}}
noun Decius voc_sg {{la-decl-2nd|num=sg|Deci}}
noun Decrius voc_sg {{la-decl-2nd|num=sg|Decri}}
noun Dellius voc_sg {{la-decl-2nd|num=sg|Delli}}
noun Desticius voc_sg {{la-decl-2nd|num=sg|Destici}}
noun Dexius voc_sg {{la-decl-2nd|num=sg|Dexi}}
noun Didius voc_sg {{la-decl-2nd|num=sg|Dīdi}}
noun Digitius voc_sg {{la-decl-2nd|num=sg|Digiti}}
noun Dillius voc_sg {{la-decl-2nd|num=sg|Dilli}}
noun Domitius voc_sg {{la-decl-2nd|num=sg|Domiti}}
noun Dottius voc_sg {{la-decl-2nd|num=sg|Dotti}}
noun Ducenius voc_sg {{la-decl-2nd|num=sg|Ducēni}}
noun Duilius voc_sg {{la-decl-2nd|num=sg|Duīli}}
noun Dulgubnii voc_sg {{la-decl-2nd|num=pl|Dulgubni}}
noun Dumnonii voc_sg {{la-decl-2nd|num=pl|Dumnōni}}
noun Duranius voc_sg {{la-decl-2nd|num=sg|Durāni}}
noun Duronius voc_sg {{la-decl-2nd|num=sg|Durōni}}
noun Duvius voc_sg {{la-decl-2nd|num=sg|Duvi}}
